Date,Open,High,Low,Close,Adj Close,Volume
2016-06-13,43.671429,44.242859,43.400002,43.771427,42.688320,2414916
2016-06-14,43.385715,43.585712,42.614285,43.071426,42.005638,3341387
2016-06-15,43.571426,43.571426,42.857143,43.257141,42.186756,3901037
2016-06-16,42.714287,42.957142,42.257141,42.428570,41.378689,2912392
2016-06-17,42.614285,43.128571,42.614285,42.799999,41.740925,5606734
2016-06-20,43.628571,44.657143,43.257141,44.614285,43.510323,2205889
2016-06-21,44.571426,45.485714,44.314285,45.385715,44.262661,3960607
2016-06-22,45.385715,45.571426,44.728573,44.985714,43.872559,3300955
2016-06-23,44.900002,45.714287,44.900002,45.714287,44.583099,3638264
2016-06-27,43.642857,44.385715,41.242859,41.485714,40.459167,9082717
2016-06-28,42.057140,42.857143,41.571426,42.714287,41.657337,5068294
2016-06-29,43.257141,43.428570,42.557140,43.128571,42.061367,3689609
2016-06-30,43.171429,43.700001,42.885715,43.700001,42.618660,3752896
2016-07-01,44.057140,44.500000,43.328571,44.428570,43.329205,2470209
2016-07-04,44.642857,44.657143,43.657143,43.757141,42.674389,1082011
2016-07-05,43.571426,44.171429,42.585712,42.799999,41.740925,2223529
2016-07-06,42.385715,42.928570,42.142857,42.557140,41.504082,1972789
2016-07-07,42.942856,43.828571,42.828571,43.542858,42.465408,2397654
2016-07-08,43.614285,44.471428,43.442856,44.385715,43.287407,2307179
2016-07-11,44.671429,45.271427,44.471428,45.271427,44.151207,2725758
2016-07-12,45.428570,45.842857,45.142857,45.371429,44.248734,2199365
2016-07-13,45.428570,46.142857,45.342857,45.885715,44.750294,2789689
2016-07-14,45.942856,46.185715,45.657143,45.928570,44.792084,1831235
2016-07-15,45.857143,45.971428,45.357143,45.742859,44.610973,1804740
2016-07-18,45.714287,46.228573,45.714287,46.142857,45.001068,2373917
2016-07-19,46.057140,46.428570,45.900002,46.285713,45.140388,1984535
2016-07-20,46.428570,47.257141,46.385715,47.242859,46.073856,2594361
2016-07-21,47.314285,47.414284,46.785713,46.985714,45.823071,2569364
2016-07-22,46.957142,47.299999,46.714287,47.171429,46.004192,1837318
2016-07-25,47.057140,48.042858,47.057140,47.828571,46.645073,1863302
2016-07-26,47.671429,47.714287,47.385715,47.528572,46.352497,2414090
2016-07-27,47.642857,48.000000,47.571426,47.842857,46.659008,2524662
2016-07-28,47.857143,48.114285,47.671429,47.671429,46.491814,1725150
2016-07-29,47.571426,48.214287,47.528572,48.214287,47.021248,3165127
2016-08-01,48.214287,48.314285,47.599998,48.028572,46.840126,2834846
2016-08-02,48.028572,48.114285,47.428570,47.657143,46.477886,2188942
2016-08-03,47.657143,47.814285,46.871429,47.142857,45.976326,2038561
2016-08-04,47.357143,47.714287,47.185715,47.714287,46.533619,2201003
2016-08-05,47.757141,48.299999,47.757141,48.271427,47.076969,2915542
2016-08-08,48.271427,48.828571,46.514286,47.099998,45.934532,8467088
