Date,Open,High,Low,Close,Adj Close,Volume
2016-06-13,151.630005,152.500000,150.279999,151.279999,121.129616,3610400
2016-06-14,151.279999,151.789993,150.399994,151.059998,120.953445,2865800
2016-06-15,151.460007,151.789993,150.600006,150.679993,120.649178,2260400
2016-06-16,150.190002,151.289993,149.000000,151.059998,120.953445,2449100
2016-06-17,150.960007,152.720001,150.600006,151.990005,121.698097,4663900
2016-06-20,152.600006,154.669998,152.520004,153.610001,122.995262,3572100
2016-06-21,154.160004,154.570007,153.690002,154.050003,123.347519,2760300
2016-06-22,153.750000,154.710007,152.270004,152.919998,122.442780,2833700
2016-06-23,153.449997,155.479996,152.600006,155.350006,124.388451,3969400
2016-06-24,149.970001,150.610001,146.179993,146.589996,117.374329,9082800
2016-06-27,146.179993,146.600006,142.500000,143.500000,114.900169,5017900
2016-06-28,144.779999,145.729996,144.220001,145.699997,116.661713,3997700
2016-06-29,146.500000,148.479996,146.449997,148.460007,118.871620,3367700
2016-06-30,148.860001,151.910004,148.669998,151.779999,121.529945,3967100
2016-07-01,151.779999,152.970001,151.399994,152.350006,121.986351,2658300
2016-07-05,151.190002,152.000000,150.759995,151.679993,121.449883,2465200
2016-07-06,151.850006,152.410004,149.919998,152.369995,122.002342,2569400
2016-07-07,152.750000,153.690002,151.889999,152.600006,122.186523,2138400
2016-07-08,154.000000,154.600006,153.080002,154.460007,123.675812,3040600
2016-07-11,154.600006,156.039993,154.500000,155.330002,124.372459,2833700
2016-07-12,156.000000,157.119995,155.520004,157.039993,125.741653,3843800
2016-07-13,157.750000,158.339996,157.059998,158.020004,126.526306,2746400
2016-07-14,158.809998,161.399994,158.580002,160.279999,128.335892,4637600
2016-07-15,159.899994,159.979996,158.500000,159.779999,127.935547,4476800
2016-07-18,159.300003,160.750000,158.729996,159.860001,127.999588,6729700
2016-07-19,161.779999,162.139999,157.889999,159.580002,127.775406,7120000
2016-07-20,159.970001,161.710007,159.600006,161.360001,129.200668,4376300
2016-07-21,160.750000,161.850006,159.889999,160.449997,128.472015,3518900
2016-07-22,160.779999,162.169998,160.479996,162.070007,129.769119,2520100
2016-07-25,162.000000,162.880005,161.750000,162.649994,130.233536,2804600
2016-07-26,162.649994,163.600006,161.369995,162.119995,129.809174,2894600
2016-07-27,162.119995,162.570007,161.179993,161.830002,129.576981,2162700
